filename	pos	whm.	whm..1	delta	height	height_norm	avg	bgr	sig_to_noise
HDAC2_L1PA7-flat80-peaklist.text	5085	5043	5142	99	2.11428762485	1.8882956876	1.41075616834	-0.0186610359125	4.3328668786
KDM1A_L1PA7-flat80-peaklist.text	4935	4880	4986	106	1.45051425812	1.28301881938	1.1168693452	0.262690214545	1.9694120703
KDM1A_L1PA7-flat80-peaklist.text	5080	5048	5127	79	4.88100368608	4.71350824735	3.47853185973	0.812506008877	8.11565757362
KDM1A_L1PA7-flat80-peaklist.text	5219	5173	5278	105	2.15526131435	1.98776587562	1.65746327817	0.470872693214	3.20290506743
KDM1A_L1PA7-flat80-peaklist.text	5985	5956	6016	60	11.6675608382	11.5000653994	8.42570949087	1.84237047215	19.7310113906
KDM6A_L1PA7-flat80-peaklist.text	5984	5954	6016	62	2.45491123893	2.25310102487	1.72711497512	0.380640877246	5.59901437683
RAD21_L1PA7-flat80-peaklist.text	1124	1088	1201	113	1.34640428097	1.20488178475	0.921006489389	0.390043298664	1.60246678526
YY1_L1PA7-flat80-peaklist.text	557	533	583	50	3.71988963598	3.16032936096	2.78320152357	0.749123140164	2.405390257
YY1_L1PA7-flat80-peaklist.text	764	737	846	109	2.7452080383	2.18564776327	1.79863335003	0.659271478115	1.64303365976
ZNF143_L1PA7-flat80-peaklist.text	5078	5012	5134	122	1.5916370466	1.31094437305	0.767442187514	-0.239758600418	4.14194017365
ZNF143_L1PA7-flat80-peaklist.text	5666	5631	5695	64	2.35022809775	2.06953542421	1.62379408433	0.355425174714	4.41534275161
ZNF143_L1PA7-flat80-peaklist.text	5814	5748	5840	92	1.50850374467	1.22781107112	0.983569630179	0.269920490389	2.27570615496
